Interface_Temp,Fan_FanTray1Fan1Sensor1,Fan_FanTray2Fan1Sensor1,Fan_FanTray3Fan1Sensor1,Fan_FanTray4Fan1Sensor1,rack_unit,Device_local_sn,SFP_manufacturer,SFP_model,fan_speed_mean
64.1,12048,12048,12000,12096,29,SGD21301726,Finisar,FCBN425QF1C10-OR,12048.0
64.0,12875,12931,12875,12875,3,SGD22057368,Finisar,FCBN425QF1C02-OR,12889.0
64.0,14851,15151,14778,15789,38,JPA22473511,Intel Corp,SPTSHP2PMCDF,15142.25
64.0,14851,14563,15544,15306,3,JPA22364117,Intel Corp,SPTSHP2PMCDF,15066.0
64.0,12048,12048,12000,12096,29,SGD21301726,Finisar,FCBN425QF1C07-OR,12048.0
64.0,9118,8450,25500,9202,21,JPE22230233,Finisar,FTCD4523E2PCM-4A,13067.5
64.0,12295,12295,12295,12345,23,JPE21403977,Finisar,FCBN425QF1C10-OR,12307.5
64.0,13636,13636,13636,13636,2,SGD21302447,Accelight,AQP100C-C-LRL,13636.0
64.0,13636,13636,13636,13636,2,SGD21302447,Accelight,AQP100C-C-LRL,13636.0
64.0,12605,12658,12658,12711,6,SGD22075486,AOI,AQPLBCQ4EDMA1072,12658.0
64.0,14634,14925,14563,14705,10,FGN2322031P,Intel Corp,SPTSHP2PMCDF,14706.75
64.0,14705,14705,14705,14705,1,JPE21312037,Finisar,FCBN425QF1C10-OR,14705.0
64.0,13392,13274,13452,13333,31,JPE21051898,Intel Corp,SPTSHP2PMCDF,13362.75
64.0,13513,13574,13574,13574,4,JPA22362582,Intel Corp,SPTSHP2PMCDF,13558.75
64.0,13392,13274,13452,13333,31,JPE21051898,Intel Corp,SPTSHP2PMCDF,13362.75
64.0,14218,14218,14218,14285,1,SGD21492532,Finisar,FCBN425QF1C02-OR,14234.75
64.0,14218,14423,14354,14285,3,JPA22473440,Intel Corp,SPTSHP2PMCDF,14320.0
64.0,12096,12145,12096,12096,37,JPE21032872,Intel Corp,SPTSHP2PMCDF,12108.25
64.0,15151,15151,15228,15228,1,SGD21470636,Accelight,AQP100C-C-LRL,15189.5
64.0,15075,15228,14925,14925,6,JPA22231694,Intel Corp,SPTSHP2PMCDF,15038.25
64.0,15151,15151,15228,15228,1,SGD21470636,Accelight,AQP100C-C-LRL,15189.5
64.0,15384,15151,15306,15957,3,JPA22473380,Intel Corp,SPTSHP2PMCDF,15449.5
64.0,15075,15384,15306,15228,11,JPA22242228,Intel Corp,SPTSHP2PMCDF,15248.25
64.0,13157,13157,13157,13157,3,JPE21403969,Accelight,AQP100C-C-LRL,13157.0
64.0,12931,12711,12875,12820,3,JPE22201668,Intel Corp,SPTSHP2PMCDF,12834.25
64.0,11811,12096,12096,12145,9,JPE22230216,Finisar,FTCD4523E2PCM-4A,12037.0
64.0,17500,17500,17500,17500,1,SGD22074868,Finisar,FCBN425QF1C02-OR,17500.0
64.0,12931,12820,12875,12875,6,JPE21311985,Accelight,AQP100C-C-LRL,12875.25
64.0,12195,12244,12244,12195,3,SGD22057219,AOI,AQPLBCQ4EDMA1072,12219.5
64.0,14218,14778,14851,14018,15,JPA22231445,Intel Corp,SPTSHP2PMCDF,14466.25
64.0,13274,13274,13215,13333,23,JPE21392252,Finisar,FCBN425QF1C02-OR,13274.0
64.0,12096,12048,12096,12000,5,JPE20462160,AOI,AQPLBCQ4EDMA1072,12060.0
64.0,15873,15789,15706,15789,39,JPA22242247,Intel Corp,SPTSHP2PMCDF,15789.25
64.0,14218,14150,14218,14150,6,SGD22074049,Accelight,AQP100C-C-LRL,14184.0
64.0,13452,13513,13513,13513,2,SGD21492530,AOI,AQPLBCQ4EDMA1072,13497.75
64.0,14423,14423,14423,14423,1,JPE21402353,Accelight,AQP100C-C-LRL,14423.0
64.0,14084,14218,13953,13953,32,JPA22362474,Intel Corp,SPTSHP2PMCDF,14052.0
64.0,14150,14150,14084,14084,18,JPE22230130,Intel Corp,SPTSHP2PMCDF,14117.0
63.9,14705,14705,14705,14705,1,JPE21312037,AOI,AQPLBCQ4EDMA1072,14705.0
63.9,12295,12295,12295,12345,23,JPE21403977,Finisar,FCBN425QF1C02-OR,12307.5
63.9,15463,15625,15384,15151,9,JPE22230198,Intel Corp,SPTSHP2PMCDF,15405.75
63.9,14778,14492,14634,14925,24,JPE22230127,Intel Corp,SPTSHP2PMCDF,14707.25
63.9,14705,14705,14705,14705,1,JPE21312037,Finisar,FCBN425QF1C10-OR,14705.0
63.9,13452,13824,13953,13392,4,JPA22473707,Intel Corp,SPTSHP2PMCDF,13655.25
63.9,15789,16042,16393,16129,6,JPA22231460,Intel Corp,SPTSHP2PMCDF,16088.25
63.9,12096,12048,12096,12000,5,JPE20462160,Finisar,FCBN425QF1C02-OR,12060.0
63.9,20408,20408,20408,20547,39,JPE21071537,Intel Corp,SPTSHP2PMCDF,20442.75
63.9,12048,12096,12096,12096,7,SGD21470540,AOI,AQPA9N10ADLN1205,12084.0
63.9,14084,14218,13953,13953,32,JPA22362474,Intel Corp,SPTSHP2PMCDF,14052.0
63.9,15228,15075,15151,16129,3,JPA22231684,Intel Corp,SPTSHP2PMCDF,15395.75
63.9,14218,14218,14218,14285,1,SGD21492532,Finisar,FCBN425QF1C02-OR,14234.75
63.9,14218,14218,14218,14285,1,SGD21492532,AOI,AQPLBCQ4EDMA1072,14234.75
63.9,12396,12345,12396,12396,23,JPE21410575,Finisar,FCBN425QF1C02-OR,12383.25
63.9,15000,15075,15151,15000,11,JPA22241182,Intel Corp,SPTSHP2PMCDF,15056.5
63.9,12345,12552,12500,12605,1,SGD22057282,AOI,AQPLBCQ4EDMA1072,12500.5
63.9,12931,12875,12987,12931,3,SGD21301988,Finisar,FCBN425QF1C02-OR,12931.0
63.9,13333,13953,13761,13574,11,JPA22473538,Intel Corp,SPTSHP2PMCDF,13655.25
63.9,13100,13157,13043,13100,1,JPE21301901,Accelight,AQP100C-C-LRL,13100.0
63.9,12931,12711,12875,12820,3,JPE22201668,Intel Corp,SPTSHP2PMCDF,12834.25
63.9,13043,13274,13157,13100,1,JPE21314506,Finisar,FCBN425QF1C02-OR,13143.5
63.9,12765,12765,12820,12765,6,SGD21302156,Finisar,FCBN425QF1C10-OR,12778.75
63.9,14634,14563,14285,14705,31,JPE22230165,Intel Corp,SPTSHP2PMCDF,14546.75
63.9,15789,15706,15873,15957,40,JPE22230499,Intel Corp,SPTSHP2PMCDF,15831.25
63.9,14925,14925,15000,14563,10,JPA22242051,Intel Corp,SPTSHP2PMCDF,14853.25
63.9,13636,13636,13636,13636,2,SGD21302447,Accelight,AQP100C-C-LRL,13636.0
63.9,16304,16666,16574,16393,15,JPE22230201,Intel Corp,SPTSHP2PMCDF,16484.25
63.9,12096,12145,12096,12096,37,JPE21032872,Intel Corp,SPTSHP2PMCDF,12108.25
63.9,9118,8450,25500,9202,21,JPE22230233,Finisar,FTCD4523E2PCM-4A,13067.5
63.9,16304,16216,16042,16042,3,JPE20255064,Intel Corp,SPTSHP2PMCDF,16151.0
63.9,16042,15957,16216,16042,37,JPE21032860,Intel Corp,SPTSHP2PMCDF,16064.25
63.9,16042,15957,16216,16042,37,JPE21032860,Intel Corp,SPTSHP2PMCDF,16064.25
63.9,14851,14563,15544,15306,3,JPA22364117,Intel Corp,SPTSHP2PMCDF,15066.0
63.9,12931,12987,12931,12987,2,JPE21410670,Accelight,AQP100C-C-LRL,12959.0
63.9,13513,13574,13574,13574,4,JPA22362582,Intel Corp,SPTSHP2PMCDF,13558.75
63.9,13513,13574,13574,13574,4,JPA22362582,Intel Corp,SPTSHP2PMCDF,13558.75
63.9,12096,12145,12096,12096,37,JPE21032872,Intel Corp,SPTSHP2PMCDF,12108.25
63.9,15706,15789,15706,15706,6,JPA22231733,Intel Corp,SPTSHP2PMCDF,15726.75
63.9,12875,12931,12931,12931,3,SGD21301637,Finisar,FCBN425QF1C10-OR,12917.0
63.9,14925,14925,14925,14925,1,SGD22057077,Finisar,FCBN425QF1C10-OR,14925.0
63.9,12931,12987,12931,12987,2,JPE21410670,Accelight,AQP100C-C-LRL,12959.0
63.9,14150,13888,14084,14018,33,JPA22473494,Intel Corp,SPTSHP2PMCDF,14035.0
63.9,13761,14851,14851,13636,9,JPE21071578,Intel Corp,SPTSHP2PMCDF,14274.75
63.9,13274,13274,13215,13215,1,SGD21302437,Accelight,AQP100C-C-LRL,13244.5
63.8,12820,12875,12875,12820,27,JPE21402458,Finisar,FCBN425QF1C02-OR,12847.5
63.8,15706,15789,15706,15706,6,JPA22231733,Intel Corp,SPTSHP2PMCDF,15726.75
63.8,12931,12711,12875,12820,3,JPE22201668,Intel Corp,SPTSHP2PMCDF,12834.25
63.8,15706,15873,15957,16042,10,JPE21051927,Intel Corp,SPTSHP2PMCDF,15894.5
63.8,12931,12711,12875,12820,3,JPE22201668,Intel Corp,SPTSHP2PMCDF,12834.25
63.8,12096,12145,12096,12096,37,JPE21032872,Intel Corp,SPTSHP2PMCDF,12108.25
63.8,13513,13574,13574,13574,4,JPA22362582,Intel Corp,SPTSHP2PMCDF,13558.75
63.8,13761,13636,13636,13698,1,JPE22031016,Accelight,AQP100C-C-LRL,13682.75
63.8,14634,14563,14285,14705,31,JPE22230165,Intel Corp,SPTSHP2PMCDF,14546.75
63.8,15706,15706,15789,15789,2,SGD22074334,AOI,AQPLBCQ4EDMA1072,15747.5
63.8,14218,14218,14285,14285,2,SGD22074517,Finisar,FCBN425QF1C02-OR,14251.5
63.8,12765,12765,12820,12765,4,SGD21302386,AOI,AQPLBCQ4EDMA1072,12778.75
63.8,15463,15625,15384,15151,9,JPE22230198,Intel Corp,SPTSHP2PMCDF,15405.75
63.8,13392,13452,13452,13513,3,JPE20455134,Finisar,FCBN425QF1C02-OR,13452.25
63.8,11811,12096,12096,12145,9,JPE22230216,Finisar,FTCD4523E2PCM-4A,12037.0
63.8,12048,12048,12048,12048,3,JPE21414173,Accelight,AQP100C-C-LRL,12048.0
63.8,12500,12875,12658,12765,33,JPE21032859,Intel Corp,SPTSHP2PMCDF,12699.5
63.8,16042,15625,16216,16216,18,JPE22201589,Intel Corp,SPTSHP2PMCDF,16024.75
63.8,15000,15075,15151,15000,11,JPA22241182,Intel Corp,SPTSHP2PMCDF,15056.5
63.8,15000,15075,15151,15000,11,JPA22241182,Intel Corp,SPTSHP2PMCDF,15056.5
63.8,13043,13274,13157,13100,1,JPE21314506,Accelight,AQP100C-C-LRL,13143.5
63.8,16304,16216,16304,16393,40,JPA22473683,Intel Corp,SPTSHP2PMCDF,16304.25
63.8,14150,13888,14084,14018,33,JPA22473494,Intel Corp,SPTSHP2PMCDF,14035.0
63.8,15463,14218,15228,14218,4,JPA22473691,Intel Corp,SPTSHP2PMCDF,14781.75
63.8,14705,14778,14634,14492,37,JPE22230484,Intel Corp,SPTSHP2PMCDF,14652.25
63.8,14705,14778,14634,14492,37,JPE22230484,Intel Corp,SPTSHP2PMCDF,14652.25
63.8,16042,15957,16216,16042,37,JPE21032860,Intel Corp,SPTSHP2PMCDF,16064.25
63.8,14218,14423,14354,14285,3,JPA22473440,Intel Corp,SPTSHP2PMCDF,14320.0
63.8,14285,14354,14354,14354,34,JPA22473383,Intel Corp,SPTSHP2PMCDF,14336.75
63.8,13043,13043,13100,13100,1,JPE21314444,Accelight,AQP100C-C-LRL,13071.5
