Interface_Temp,Fan_FanTray1Fan1Sensor1,Fan_FanTray2Fan1Sensor1,Fan_FanTray3Fan1Sensor1,Fan_FanTray4Fan1Sensor1,rack_unit,Device_local_sn,SFP_manufacturer,SFP_model
64.1,8152,8064,8086,8108,6,SGD20474810,FINISAR CORP,FCBN425QF1C10-OR
64.1,9345,9316,9316,9316,1,JPE20285262,AOI,AQPLBCQ4EDMA1072
64.1,7978,7978,7978,7957,5,SGD21036214,FINISAR CORP,FCBN425QF1C02-OR
64.1,9118,9146,9174,9118,23,SGD21302411,FINISAR CORP,FCBN425QF1C10-OR
64.1,8333,8333,8379,8379,27,JPE20263715,FINISAR CORP,FCBN425QF1C20-OR
64.1,5145,5199,5199,5319,4,JPE20470928,AOI,AQPLBCQ4EDMA1072
64.1,9584,9584,9584,9615,5,JPE21311865,Accelight,AQP100C-C-LRL
64.1,8982,8955,8955,8955,30,SGD22075179,FINISAR CORP,FCBN425QF1C02-OR
64.1,8333,8287,8264,8287,23,JPE20471051,FINISAR CORP,FCBN425QF1C10-OR
64.1,5714,5802,5758,5813,42,JPE21320883,FINISAR CORP,FCBN425QF1C07-OR
64.1,8403,8356,8379,8403,4,SGD20421616,AOI,AQPA9N10ADLN0957
64.1,7672,7692,7653,7712,14,SGD22023370,FINISAR CORP,FCBN425QF1C02-OR
64.1,11029,11029,10989,10989,23,JPE20450212,FINISAR CORP,FCBN425QF1C02-OR
64.1,9463,9463,9493,9463,30,JPE20451962,FINISAR CORP,FCBN425QF1C15-OR
64.1,7712,7692,7751,7731,26,JPE20461909,FINISAR CORP,FCBN425QF1C10-OR
64.1,9259,9287,9316,9316,8,JPE20482446,AOI,AQPLBCQ4EDMA1072
64.1,9646,9615,9646,9615,2,JPE20482329,FINISAR CORP,FCBN425QF1C10-OR
64.1,14150,14150,14084,14084,18,JPE22230130,Intel Corp,SPTSHP2PMCDF
64.1,7211,7211,7263,7228,7,JPE21271246,Hisense,DQF8503-4C03
64.1,8086,8108,8130,8152,25,JPE16193355,FINISAR CORP,FCBN425QF1C10-OR
64.1,7211,7211,7263,7228,7,JPE21271246,Accelight,AQP100C-C-LRL
64.1,17500,17500,17500,17500,1,SGD22074868,FINISAR CORP,FCBN425QF1C02-OR
64.1,7751,7792,7731,7751,6,SGD20445330,AOI,AQPLBCQ4EDMA1072
64.1,5555,5660,5565,5524,24,SGD20254407,FINISAR CORP,FCBN425QF1C15-OR
64.1,10309,10309,10309,10273,24,SGD21422766,FINISAR CORP,FCBN425QF1C07-OR
64.1,9646,9646,9646,9584,2,SGD21520743,FINISAR CORP,FCBN425QF1C02-OR
64.1,6864,6864,6864,6849,29,SGD20404589,FINISAR CORP,FCBN425QF1C02-OR
64.1,9868,9900,9836,9836,27,JPE21402464,FINISAR CORP,FCBN425QF1C20-OR
64.1,8849,8797,8849,8849,30,JPE20471036,FINISAR CORP,FCBN425QF1C02-OR
64.1,8310,8310,8333,8333,24,SGD21132147,FINISAR CORP,FCBN425QF1C02-OR
64.1,9118,9090,9090,9063,27,SGD20452433,FINISAR CORP,FCBN425QF1C10-OR
64.1,8955,9036,8982,9009,23,SGD20511721,FINISAR CORP,FCBN425QF1C10-OR
64.1,8498,8474,8474,8474,23,SGD22057420,FINISAR CORP,FCBN425QF1C15-OR
64.1,7653,7614,7672,7653,30,SGD20271565,FINISAR CORP,FCBN425QF1C10-OR
64.1,10067,10033,10033,10000,29,SGD21068178,FINISAR CORP,FCBN425QF1C02-OR
64.1,9202,9174,9118,9174,6,SGD21035603,AOI,AQPLBCQ4EDMA1072
64.1,10791,10791,10791,10791,8,SGD22074205,AOI,AQPLBCQ4EDMA1072
64.1,8450,8474,8474,8498,25,SGD21391229,FINISAR CORP,FCBN425QF1C20-OR
64.1,8695,8670,8720,8695,6,SGD22075466,FINISAR CORP,FCBN425QF1C02-OR
64.1,8000,7894,7915,8000,2,SGD21084776,FINISAR CORP,FCBN425QF1C10-OR
64.1,9063,9036,9009,9036,5,JPE20454748,AOI,AQPLBCQ4EDMA1072
64.1,9584,9584,9615,9615,25,JPE21322606,FINISAR CORP,FCBN425QF1C02-OR
64.1,8287,8264,8264,8264,7,SGD22023738,AOI,AQPLBCQ4EDMA1072
64.1,9554,9554,9523,9554,28,JPE22192754,FINISAR CORP,FCBN425QF1C20-OR
64.1,11673,11673,11673,11673,30,JPE21314439,FINISAR CORP,FCBN425QF1C10-OR
64.1,11583,11583,11538,11583,2,SGD22057326,AOI,AQPLBCQ4EDMA1072
64.1,8241,8241,8219,8196,4,SGD22023339,AOI,AQPLBCQ4EDMA1072
64.1,6521,6550,6564,6564,3,SGD21085314,FINISAR CORP,FCBN425QF1C10-OR
